location	product_ean	code	store_name
Africa/Lagos	0162768399298	NG	Olupona
America/Sao_Paulo	1040847338743	BR	Marau
America/Sao_Paulo	5649799468957	BR	Carlos Barbosa
Asia/Shanghai	3855579503790	CN	Jiangyan
Atlantic/Canary	4614461700629	ES	Maspalomas
America/Sao_Paulo	0821511489111	BR	Miracema
America/Bogota	6131577914071	CO	San Carlos
Europe/Madrid	7221935571615	ES	Villaquilambre
Africa/Addis_Ababa	0397175073558	ET	Debre Tabor
Europe/Moscow	4433351980664	RU	Severodvinsk
America/Tegucigalpa	3885781695617	HN	Olanchito
Europe/Brussels	2865618338888	BE	Rixensart
Asia/Kolkata	1079671438640	IN	Adra
America/Havana	4532667901308	CU	Boyeros
Asia/Urumqi	9214996326759	CN	Hoxtolgay
Europe/London	5192166186348	GB	Winsford
America/Cuiaba	2424558064914	BR	Nova Xavantina
Asia/Jakarta	7453210115164	ID	Pameungpeuk
America/Mexico_City	8784555107668	MX	Santa Rosa Jauregui
Asia/Shanghai	8572196747714	CN	Pingyi
Asia/Dushanbe	2140827321280	TJ	Vahdat
America/Sao_Paulo	6077375802984	BR	Pato Branco
America/Martinique	1534137653307	MQ	Le Robert
Asia/Tehran	2939515914695	IR	Isfahan
Europe/Dublin	2950301935663	IE	An Muileann gCearr
Europe/Madrid	0254971957355	ES	Ferrol
Africa/Ndjamena	8793832947941	TD	Mongo
America/El_Salvador	3356805729217	SV	Sonzacate
Indian/Antananarivo	4355504017891	MG	Ambatondrazaka
Europe/Prague	6787007687444	CZ	Karlovy Vary
Africa/Dar_es_Salaam	9087893134600	TZ	Iringa
America/Los_Angeles	0900798573086	US	Bothell
Asia/Shanghai	0516724578591	CN	Licheng
America/New_York	9249606354228	US	Lebanon
America/Panama	9036351049628	PA	Chilibre
Europe/Brussels	2654069808442	BE	Beveren
Asia/Kolkata	2498745026443	IN	Aklera
Europe/London	9271826667666	GB	Belper
Asia/Tehran	6193959726061	IR	Aleshtar
America/Mexico_City	7020351605313	MX	Santa Rosa Jauregui
Europe/Paris	5148321090142	FR	Bobigny
Asia/Tokyo	8909435918077	JP	Iwade
Europe/Moscow	3212043602234	RU	Stupino
Asia/Kolkata	7373965212461	IN	Alwaye
Africa/Casablanca	1659057654637	MA	Jerada
America/Recife	5562867819997	BR	Cabo
Europe/Berlin	3463875474784	DE	Pfullingen
Europe/Moscow	2748762121776	RU	Bogoroditsk
Asia/Tokyo	7626186864415	JP	Okegawa
America/Chicago	2368055010428	US	Independence
Europe/Helsinki	4639553996438	FI	Tornio
America/Mexico_City	0430610500551	MX	Salvatierra
America/New_York	8277726747942	US	Clermont
Europe/London	6435466223412	GB	Kingston upon Hull
Europe/Brussels	1160109221733	BE	Denderleeuw
Europe/Dublin	9995919938975	IE	An Muileann gCearr
Europe/London	4494164758222	GB	Southsea
Africa/Freetown	7609427468801	SL	Freetown
Europe/Rome	2777861013187	IT	Castelfranco Emilia
Europe/London	7118929825826	GB	Lancing
Africa/Ndjamena	1278179198494	TD	Mongo
Asia/Karachi	3875236277819	PK	Tharu Shah
Asia/Kolkata	5014670325382	IN	Saharsa
Africa/Lagos	8877926283600	NG	Olupona
Asia/Manila	8393204715064	PH	San Jose
Europe/Moscow	9711352733195	RU	Danilov
Europe/Istanbul	9204893617395	TR	Mardin
America/Caracas	9129959606505	VE	La Victoria
America/Puerto_Rico	6349071298959	PR	Yauco
Asia/Jakarta	6660569277684	ID	Tebingtinggi
Indian/Antananarivo	1196685284572	MG	Antanifotsy
Europe/Berlin	6763905580483	DE	Eppingen
Europe/Paris	0759497526851	FR	Les Olives
Africa/Dar_es_Salaam	1673485658012	TZ	Usagara
Asia/Ulaanbaatar	9366048356082	MN	Ulan Bator
Asia/Kolkata	5897706247533	IN	Teghra
Asia/Shanghai	9507930655955	CN	Hengshui
Europe/Amsterdam	6552741378794	NL	Hardenberg
Europe/Rome	0516020730051	IT	Sassari
Europe/Rome	5602315499576	IT	Lanciano
Pacific/Auckland	6368014993553	NZ	Timaru
Asia/Jakarta	0478741956991	ID	Ngemplak
America/New_York	9943441628567	US	Bridgeport
Africa/Accra	6688416816923	GH	Tarkwa
Africa/Porto-Novo	7251579577551	BJ	Tchaourou
Asia/Ulaanbaatar	7664993411576	MN	Ulan Bator
America/Chicago	0736452845943	US	South Lawndale
America/Sao_Paulo	1652396681289	BR	Esmeraldas
Europe/Istanbul	9408829340764	TR	Edremit
Europe/Moscow	5661735528556	RU	Solntsevo
Europe/Samara	7016578706179	RU	Otradnyy
Asia/Tokyo	7894914013873	JP	Hakodate
Europe/Berlin	7923700537528	DE	Oberhausen
America/Mexico_City	6572052142020	MX	Zacoalco de Torres
Europe/Samara	0732046253507	RU	Otradnyy
America/Los_Angeles	7059458033637	US	Davis
Europe/London	4498188145686	GB	Gainsborough
Asia/Tehran	6143012705830	IR	Aleshtar
America/New_York	6627856734855	US	Brunswick
Asia/Manila	0626048153401	PH	Dipolog
Asia/Kolkata	9616140974487	IN	Rangia
America/New_York	5855828494051	US	Clermont
America/New_York	0739861546579	US	Lexington
Europe/Istanbul	1778354589449	TR	Serinhisar
Europe/Berlin	7333786123193	DE	Memmingen
Europe/Moscow	8721134337689	RU	Petrozavodsk
Europe/Brussels	4945856491632	BE	Wevelgem
Africa/Cairo	3865689884153	EG	Alexandria
Europe/Zagreb	0392016946374	HR	Split
Asia/Tokyo	0731371005690	JP	Yamada
Europe/London	7893627881731	GB	Walton-on-the-Naze
Europe/Lisbon	3877545716225	PT	Carnaxide
America/Los_Angeles	3186712411796	US	Riverbank
Asia/Bangkok	1641039492436	TH	Bang Ban
America/Sao_Paulo	5004110607918	BR	Artur Nogueira
Europe/Warsaw	0241120320368	PL	Zgorzelec
Europe/Berlin	8033472471759	DE	Radevormwald
Asia/Tokyo	6593375351210	JP	Shinshiro
America/Santiago	0674564839002	CL	La Ligua
America/Chicago	2797160940052	US	Fresno
Europe/Moscow	6737343588066	RU	Stupino
Asia/Kolkata	9889507001694	IN	Sirsi
America/New_York	2095450859979	US	Scotch Plains
Asia/Kolkata	8859228462235	IN	Sirsi
Europe/London	1536517997285	GB	Barnet
Asia/Manila	8848605731583	PH	Masbate
America/Lima	4337925242830	PE	Iquitos
Europe/Kiev	8004493694700	UA	Zvenihorodka
America/New_York	3654285327764	US	West Chester
Asia/Jakarta	9500353124602	ID	Sukabumi
Europe/Berlin	3232647466254	DE	Nidderau
Europe/Prague	4799256533269	CZ	Karlovy Vary
America/Lima	9738821966687	PE	Minas de Marcona
Europe/London	5828824957257	GB	Cowes
Europe/London	8526684361159	GB	Strood
America/Detroit	8317046151842	US	Port Huron
America/Argentina/Ushuaia	4298062438282	AR	Ushuaia
Asia/Jakarta	5664218709756	ID	Cibinong
Asia/Kolkata	4960086538926	IN	Lal Bahadur Nagar
Asia/Barnaul	8447388320726	RU	Novosilikatnyy
America/Los_Angeles	4534038955071	US	San Gabriel
America/Bahia	4433931926976	BR	Tucano
America/Chicago	2952586040391	US	Fairview Heights
Europe/Rome	1940412704716	IT	Somma Vesuviana
Asia/Kolkata	3170732495522	IN	Narwar
Asia/Dushanbe	1300061493155	TJ	Vahdat
Africa/Casablanca	9928981740665	MA	Azrou
Europe/London	4329518071620	GB	High Wycombe
America/Bogota	5697664947281	CO	Socorro
Asia/Yekaterinburg	0216626656440	RU	Saraktash
Asia/Manila	4696651819038	PH	Naga
Europe/Paris	5849246367585	FR	Le Chesnay
Asia/Shanghai	9009042893268	CN	Beidao
America/New_York	9998022987564	US	Middletown
Europe/Berlin	4545935603392	DE	Zeitz
Asia/Tokyo	8620123725349	JP	Shimotoda
Africa/Nairobi	7741365870497	KE	Busia
America/Edmonton	5457208051610	CA	Sherwood Park
America/Chicago	3266066543463	US	Copperas Cove
Asia/Shanghai	5005804231532	CN	Dongdu
Asia/Kolkata	0933331395029	IN	Narwar
America/Costa_Rica	0033736311416	CR	Liberia
Asia/Baghdad	6245143216145	IQ	Karbala
Africa/Luanda	0340444985175	AO	Luena
America/New_York	8411645268328	US	Massapequa
Europe/Rome	7882140191854	IT	Tortona
Europe/Istanbul	4954442298623	TR	Silvan
America/Argentina/Buenos_Aires	4558337912610	AR	Pontevedra
America/Guayaquil	0927498116474	EC	Cuenca
Europe/Moscow	1551591703706	RU	Buynaksk
Europe/Warsaw	0977547747791	PL	Zgorzelec
America/New_York	8116210416424	US	Lexington
Africa/Lagos	4279749222783	NG	Nkpor
America/Caracas	0354654811667	VE	La Victoria
America/Chicago	7253797714350	US	Hutto
Asia/Kolkata	8264850788422	IN	Bachhraon
Africa/Algiers	7649424031196	DZ	Frenda
Asia/Colombo	0070169911592	LK	Dehiwala-Mount Lavinia
Europe/Berlin	7071786810988	DE	Albstadt
America/New_York	9614069215575	US	Keene
America/Chicago	8574852240546	US	Hutto
Asia/Almaty	9685144550966	KZ	Otegen Batyra
Europe/London	1008121880067	GB	Lymington
America/Chicago	3241094447082	US	New City
America/New_York	1072237768106	US	Cypress Hills
Africa/Algiers	4025867540700	DZ	Thenia
Europe/Skopje	3035980875376	MK	Saraj
Europe/London	1775117295500	GB	Lymington
Asia/Kolkata	8738052083710	IN	Malaut
Asia/Kolkata	2753033893177	IN	Moga
America/New_York	4519575038500	US	Lakewood
America/Matamoros	7912507142370	MX	Heroica Matamoros
Asia/Manila	6961780299081	PH	Calauan
Africa/Windhoek	6186624121827	NA	Okahandja
Asia/Karachi	7567899486801	PK	Kanganpur
Asia/Shanghai	5743623440437	CN	Licheng
Europe/London	2021296028248	GB	Kingston upon Hull
America/Los_Angeles	0649858844895	US	Troutdale
America/Caracas	9098538400721	VE	Tinaquillo
Africa/Khartoum	4451892213010	SD	Ar Ruseris
America/Fortaleza	6499318951700	BR	Guaraciaba do Norte
Europe/Paris	7546735333424	FR	Quimper
America/Los_Angeles	9933505595423	US	Laguna Niguel
America/Port_of_Spain	7567234349631	TT	Port of Spain
Europe/Istanbul	4513752790380	TR	Silvan
Europe/Berlin	8542292810872	DE	Bad Segeberg
America/Lima	5734068979835	PE	Iquitos
Asia/Jakarta	5409767116637	ID	Tebingtinggi
Europe/Berlin	7970297766855	DE	Karben
Europe/Warsaw	9874429337563	PL	Reda
Asia/Seoul	4359890907682	KR	Goyang-si
Asia/Manila	0369856882988	PH	Jagna
America/Los_Angeles	0862876091601	US	Bothell West
Europe/Kiev	9035132232006	UA	Krasyliv
Asia/Dili	7876043017120	TL	Maliana
Asia/Shanghai	9156546036810	CN	Jingzhou
Asia/Kolkata	9671312374755	IN	Talipparamba
America/New_York	1651168665984	US	Collinwood
America/Lima	4474605757762	PE	Chosica
America/Chicago	9839359300179	US	Longview
Africa/Kinshasa	2592667520642	CD	Kasangulu
Asia/Kolkata	6001630953265	IN	Dalsingh Sarai
America/Toronto	1764081773060	CA	Dorval
America/New_York	5738265686992	US	Taunton
Asia/Shanghai	0962253299290	CN	Licheng
Africa/Abidjan	2514114052322	CI	Bonoua
Europe/Malta	9296106083448	MT	Valletta
Europe/Madrid	0154418255573	ES	San Juan de Aznalfarache
Asia/Tehran	7231536216259	IR	Nowshahr
Europe/Berlin	8538350675910	DE	Bretten
Asia/Yekaterinburg	2830617959945	RU	Tavda
America/Santiago	4949317470662	CL	San Bernardo
Asia/Shanghai	9801098154054	CN	Guli
Europe/London	0174488334916	GB	Westbury
America/Port-au-Prince	7447741751199	HT	Thomazeau
Europe/London	5948443879171	GB	Clacton-on-Sea
America/Chicago	7704317237977	US	Fresno
Europe/Istanbul	0032867455907	TR	Edremit
Europe/London	1043925976592	GB	Leyland
America/Fortaleza	7254833977418	BR	Pedro II
Africa/Algiers	1981017699489	DZ	Boumerdas
America/Phoenix	0517036893396	US	Scottsdale
Europe/Madrid	8293737459230	ES	Puertollano
America/Los_Angeles	4512879667025	US	Porterville
Asia/Jakarta	9032032061859	ID	Muncar
Europe/Warsaw	6992039708764	PL	Strzelce Opolskie
Europe/Berlin	1033353666271	DE	Oberhausen
Asia/Manila	8188130152577	PH	San Jose
Africa/Nairobi	7519316434483	KE	Lodwar
Europe/Lisbon	7997292280889	PT	Paredes
Asia/Manila	5415096702076	PH	Jagna
Europe/Rome	3887654852165	IT	Falconara Marittima
Asia/Manila	7330704562232	PH	Manaoag
Asia/Shanghai	0180683505815	CN	Shuangcheng
Europe/Rome	5863487421660	IT	Gorgonzola
Europe/Berlin	8683324492700	DE	Walsrode
Africa/Algiers	2257689233313	DZ	El Achir
Europe/Vilnius	5053008433122	LT	Ukmerge
America/Toronto	3668215674941	CA	Pointe-Claire
Africa/Dar_es_Salaam	7577699458557	TZ	Iringa
Europe/Amsterdam	4752780042348	NL	Hoogezand
Australia/Sydney	0823227732079	AU	Nowra
America/Los_Angeles	2396233620619	US	Glendale
Africa/Bangui	2255227070444	CF	Carnot
Europe/Amsterdam	2295001817681	NL	Tongelre
Europe/London	5453311259271	GB	Poulton-le-Fylde
Asia/Kolkata	4383921815738	IN	Parola
Africa/Brazzaville	4829965679450	CG	Brazzaville
Asia/Tokyo	7136465250919	JP	Motomachi
Asia/Manila	5269400356338	PH	Pilar
Europe/Kiev	7401757155921	UA	Krasyliv
Europe/Rome	2562721157961	IT	Somma Vesuviana
Asia/Shanghai	3986566159574	CN	Sishui
Europe/Moscow	7897469489452	RU	Solntsevo
America/Havana	3400647301190	CU	Varadero
America/Bogota	3121484446089	CO	Puerto Colombia
Africa/Dar_es_Salaam	1507689927981	TZ	Same
America/Chicago	3249008975027	US	Schererville
Asia/Seoul	0871465647693	KR	Eisen
America/New_York	6268641702781	US	Harrisburg
Africa/Lagos	0102925465220	NG	Kafanchan
Europe/Moscow	7423242407254	RU	Likhobory
Europe/Rome	9478954164986	IT	Roseto degli Abruzzi
Europe/Paris	7556644455933	FR	Herblay
Europe/Helsinki	7809174360360	FI	Kallio
America/Chicago	8832580901987	US	Abilene
America/Phoenix	7788940951141	US	Scottsdale
Europe/London	5798316239669	GB	Brierley Hill
Europe/Malta	6304353642936	MT	Valletta
Europe/London	4113678092737	GB	Belper
America/Boise	7887432437313	US	Nampa
Europe/Moscow	3748818505597	RU	Valday
Europe/London	3364311027819	GB	Blackpool
Europe/Chisinau	9421426357829	MD	Soroca
Asia/Shanghai	4849895701014	CN	Shuangcheng
America/Sao_Paulo	0784598606560	BR	Soledade
Asia/Manila	5962787044590	PH	Sorsogon
America/Sao_Paulo	7018918594972	BR	Curitiba
Asia/Karachi	4558982835746	PK	Fazilpur
Asia/Jakarta	0116540957046	ID	Kudus
America/Managua	2213922114078	NI	Jinotepe
Asia/Kolkata	3650805764835	IN	Bhayandar
Africa/Banjul	0333976520549	GM	Farafenni
Asia/Aden	1492260917768	YE	Ataq
Europe/London	4563480928852	GB	Rutherglen
America/Los_Angeles	9445709051051	US	Porterville
America/New_York	2153692584193	US	Rosedale
Europe/Berlin	1657152287286	DE	Hermsdorf
Europe/Paris	7205089534061	FR	Ajaccio
Asia/Jakarta	9407670939585	ID	Kudus
America/Chicago	9416787692122	US	Hueytown
America/New_York	0995048229301	US	Collinwood
America/Chicago	2429740982663	US	Rosemount
Asia/Manila	2510424241272	PH	Manaoag
Africa/Nairobi	3533043978021	KE	Nyahururu
Europe/Moscow	1649447745878	RU	Novopavlovsk
America/Chicago	2591886222153	US	Tupelo
America/Indiana/Indianapolis	0842458287837	US	Greenfield
Australia/Melbourne	8707038381584	AU	Carnegie
Europe/Brussels	0706052842079	BE	Lille
Asia/Shanghai	8638140428662	CN	Zhoushan
America/Jamaica	1754155166430	JM	New Kingston
Europe/Amsterdam	5942654804687	NL	Culemborg
Europe/Paris	8245998658785	FR	Bobigny
America/Caracas	5615030260321	VE	La Victoria
Asia/Aqtobe	9655213280322	KZ	Shalqar
Europe/Prague	6230890251808	CZ	Karlovy Vary
Asia/Shanghai	2704536503896	CN	Tianfu
America/Havana	7958051200913	CU	Varadero
Europe/Paris	2799985101823	FR	Pamiers
America/New_York	1909247711283	US	Martinsburg
Europe/Madrid	9072558521925	ES	Reus
America/Los_Angeles	9973664834599	US	Indio
America/Bogota	8229636280644	CO	Andes
Europe/Amsterdam	3430859959193	NL	Hoogezand
Europe/London	5165640548789	GB	Exeter
America/Vancouver	4174111542455	CA	Kelowna
Asia/Manila	0601188606680	PH	Manaoag
Europe/Warsaw	9562851339322	PL	Jaworzno
Asia/Hebron	4640835856432	PS	East Jerusalem
Pacific/Port_Moresby	2251037321059	PG	Mount Hagen
America/New_York	6796753413252	US	Keene
Australia/Melbourne	3415667097381	AU	Wheelers Hill
Europe/London	1144007881251	GB	Viewpark
Europe/Madrid	8082556787248	ES	el Camp de l'Arpa del Clot
Asia/Jakarta	9448879755668	ID	Simpang
America/Sao_Paulo	8574509485504	BR	Itabirito
Australia/Perth	1826041767110	AU	Perth
Africa/Algiers	3371365089359	DZ	Cheraga
Asia/Manila	2305601402696	PH	Guyong
Africa/Lagos	4464268112497	NG	Kafanchan
Europe/Paris	1009607346602	FR	Quimper
America/Port-au-Prince	4000442025797	HT	Thomazeau
Europe/Andorra	8824015304494	AD	les Escaldes
America/New_York	2266375027341	US	North Lauderdale
Europe/Tallinn	7646765754340	EE	Narva
Africa/Algiers	9077138491346	DZ	Boumerdas
Africa/Lagos	7344197554339	NG	Shagamu
Asia/Kolkata	8568788780672	IN	Amreli
Europe/Moscow	7855540483911	RU	Bavly
America/Argentina/Buenos_Aires	4072276476281	AR	Barracas
Europe/Berlin	2140188361093	DE	Hermsdorf
Africa/Kigali	2615324234024	RW	Rwamagana
Europe/London	3027341978147	GB	Viewpark
Africa/Lagos	2644033025159	NG	Ilesa
Europe/Paris	9310439683202	FR	Herblay
Europe/Zagreb	5179968635922	HR	Split
Asia/Yangon	2166019188080	MM	Myawadi
Asia/Tokyo	1623747818432	JP	Minokamo
Europe/Warsaw	3836901236883	PL	Jaworzno
Africa/Algiers	5412111706118	DZ	Beni Douala
Europe/Tallinn	7779865012123	EE	Narva
America/Los_Angeles	6229432658571	US	North Tustin
America/New_York	6382193165891	US	Clermont
Africa/Johannesburg	5158694922506	ZA	Mokopane
Asia/Shanghai	8153797735081	CN	Xinzhou
America/Los_Angeles	1900321249791	US	Beaumont
America/Denver	1742380556072	US	Saratoga Springs
Asia/Shanghai	6867155952776	CN	Jiangyan
Europe/London	6099302187049	GB	Strood
America/Recife	7894355766703	BR	Cabo
Europe/Berlin	1638897128010	DE	Trossingen
America/Sao_Paulo	5348142230516	BR	Imbituba
Asia/Kolkata	0958146308859	IN	Leteri
America/Sao_Paulo	2287096118262	BR	Caldas Novas
America/New_York	5657575952576	US	Jersey City
Europe/Moscow	4821810496830	RU	Yeysk
America/Chicago	4116252895359	US	Brentwood Estates
Asia/Shanghai	9718880858192	CN	Pingyi
Europe/Brussels	4115319089496	BE	Denderleeuw
America/Lima	2328413068461	PE	Minas de Marcona
Asia/Kabul	8154489490301	AF	Sar-e Pul
Africa/Lagos	7534852186863	NG	Yenagoa
America/Sao_Paulo	7078042690681	BR	Soledade
America/Sao_Paulo	6678264366633	BR	Marau
America/Denver	2899977934078	US	Ken Caryl
Europe/Paris	9151139877795	FR	Sceaux
Europe/London	7068180207872	GB	Walton-on-the-Naze
Europe/Moscow	5709954744804	RU	Malakhovka
America/Mexico_City	3703409257781	MX	Teziutlan
Europe/London	7732577248310	GB	Great Wyrley
Europe/Minsk	1223186427686	BY	Dobrush
America/Havana	6885672157702	CU	Boyeros
America/Detroit	8527286794840	US	Canton
Africa/Lagos	2422817297714	NG	Yenagoa
Asia/Kolkata	6290497913684	IN	Osmanabad
Asia/Kuala_Lumpur	2863227140045	MY	Kampung Ayer Molek
Asia/Kolkata	4733889160560	IN	Pune
Asia/Vladivostok	1710982550873	RU	Nikolayevsk-on-Amure
America/Chicago	7248540925770	US	Westchester
Europe/Madrid	6478514698787	ES	San Juan de Aznalfarache
Asia/Novokuznetsk	3486524831097	RU	Yashkino
Asia/Jakarta	2926293643688	ID	Muncar
Europe/Sarajevo	8090573146337	BA	Bijeljina
Europe/Sofia	9970565418897	BG	Aytos
Europe/Rome	4503125148580	IT	Afragola
Asia/Tashkent	9458211323967	UZ	Parkent
Asia/Shanghai	4770541210294	CN	Foshan
America/Los_Angeles	9301330845066	US	Santa Maria
America/Santarem	1787753843540	BR	Altamira
Europe/Berlin	2534482872490	DE	Eppingen
Asia/Karachi	8127814358881	PK	Qadirpur Ran
America/New_York	6920688692165	US	Norwalk
America/New_York	1607063448047	US	Norwalk
Asia/Damascus	4635964012101	SY	Binnish
America/New_York	3596436778004	US	Scotch Plains
Asia/Karachi	7777092127849	PK	Tharu Shah
America/New_York	4514262712794	US	Milledgeville
America/Chicago	7979697421630	US	Greenville
Europe/London	8942783863071	GB	Lymington
America/Los_Angeles	0822301358365	US	Troutdale
Asia/Colombo	2479329499037	LK	Hendala
Europe/Berlin	2893921071031	DE	Gauting
Asia/Kolkata	3091988331467	IN	Bachhraon
America/Sao_Paulo	1463600880165	BR	Guapimirim
Asia/Kuala_Lumpur	6848933226081	MY	Kulai
Asia/Shanghai	0674555097473	CN	Taozhuang
America/New_York	2253757744040	US	Chillum
Europe/Moscow	7052755986941	RU	Gudermes
Asia/Kolkata	1861511341087	IN	Osmanabad
Asia/Tokyo	6816454786735	JP	Hita
Europe/Moscow	4140129912016	RU	Yeysk
Africa/Lagos	2481704193133	NG	Efon-Alaaye
Europe/Berlin	5350583878431	DE	Hermsdorf
Europe/Berlin	7014259506780	DE	Trossingen
Europe/London	7108860159289	GB	Bushey
America/Detroit	3412266580610	US	Canton
Asia/Kolkata	5388825597376	IN	Sirsi
